#,Region,AZ,State,ID,Name,OS,Instance Type,EBS,Private IP,Public IP,Elastic IP,Launch Time
22,cn-north-1,cn-north-1b,running,i-02275233de839621c,nodes.manage.k8s.local,Linux,c4.2xlarge,EBS,10.100.65.187,unassigned,,2019-03-08 12:11:46 UTC
23,cn-north-1,cn-north-1b,running,i-0fbfba246a14641a1,xh-svr14-02,Linux,m4.large,EBS,10.28.80.44,unassigned,,2018-06-05 03:59:29 UTC
24,cn-north-1,cn-north-1b,stopped,i-0171b7e7854c04c92,bs-test04,Linux,c4.xlarge,EBS,10.110.4.228,unassigned,,2018-06-08 02:30:18 UTC
25,cn-north-1,cn-north-1b,running,i-02e4c1241a165a4a5,Xh-test-spark-cluster-version2.3.0,Linux,r4.xlarge,EBS,10.110.87.87,unassigned,,2018-07-04 08:30:48 UTC
26,cn-north-1,cn-north-1a,running,i-01f36e549518476c7,es-snowplow-prod-data-03,Linux,r4.xlarge,EBS,10.28.18.131,unassigned,,2017-12-04 11:01:45 UTC
27,cn-north-1,cn-north-1a,running,i-7702004f,ldap,Linux,t2.small,EBS,10.100.50.152,unassigned,,2016-12-05 06:59:41 UTC
28,cn-north-1,cn-north-1a,running,i-0d896d175bd15ac08,es-1k-test-master-03,Linux,t2.medium,EBS,10.110.11.21,unassigned,,2018-05-18 05:42:23 UTC
29,cn-north-1,cn-north-1b,running,i-07e9c11adc22b93a2,janusgraph-loader-prod,Linux,c4.xlarge,EBS,10.28.101.125,unassigned,,2018-11-21 08:44:05 UTC
30,cn-north-1,cn-north-1a,running,i-018375ee67f10d8f8,xhqb-prod-hadoop-slave8,Linux,m4.2xlarge,EBS,10.28.100.169,52.80.47.200,,2018-05-28 02:09:36 UTC
31,cn-north-1,cn-north-1a,running,i-03512ce523ca7039e,presto-risk-kudu,Linux,r4.xlarge,EBS,10.28.100.74,52.80.28.15,,2018-11-19 06:41:28 UTC
32,cn-north-1,cn-north-1b,running,i-0a5710b781f11d147,elasticsearch-es-prod-data-12,Linux,r4.2xlarge,EBS,10.28.15.109,unassigned,,2017-06-14 12:05:16 UTC
33,cn-north-1,cn-north-1a,running,i-0c80609925b92bb7e,m4-nodes.test100.k8s.local,Linux,m4.2xlarge,EBS,10.110.200.202,unassigned,,2019-03-05 03:52:33 UTC
34,cn-north-1,cn-north-1a,running,i-0544cef57c2dfb13d,master-cn-north-1a-1.masters.xh-prod.k8s.local,Linux,m4.large,EBS,10.28.30.157,unassigned,,2018-11-13 07:20:11 UTC
35,cn-north-1,cn-north-1a,running,i-0f0e7816ca9e6d6ee,master-cn-north-1a-1.masters.test100.k8s.local,Linux,m4.large,EBS,10.110.200.71,unassigned,,2018-11-26 06:45:06 UTC
36,cn-north-1,cn-north-1a,running,i-08d7dfc41c9bfc9ca,ldap-2,Linux,t2.medium,EBS,10.100.50.219,unassigned,,2017-08-16 10:15:52 UTC
37,cn-north-1,cn-north-1a,running,i-02b71be4f5cb65c88,prometheus-test-tmp,Linux,t2.small,EBS,10.110.3.183,unassigned,,2019-03-21 06:36:48 UTC
38,cn-north-1,cn-north-1a,running,i-0ad19c324f7e9eee7,janusgraph-loader-test,Linux,r4.xlarge,EBS,10.110.32.103,unassigned,,2018-12-25 06:10:49 UTC
39,cn-north-1,cn-north-1a,running,i-01ffefe5d6a8f4ad2,master-cn-north-1a-2.masters.manage.k8s.local,Linux,m3.medium,EBS,10.100.64.8,unassigned,,2018-09-25 02:10:58 UTC
40,cn-north-1,cn-north-1b,running,i-0a5098691836ce7dd,es-snowplow-prod-data-02,Linux,r4.xlarge,EBS,10.28.19.130,unassigned,,2017-12-04 10:56:30 UTC
41,cn-north-1,cn-north-1a,running,i-053a471d911e117d8,es-snowplow-prod-data-01,Linux,r4.xlarge,EBS,10.28.18.130,unassigned,,2017-12-04 10:51:41 UTC
42,cn-north-1,cn-north-1a,running,i-03b93c4a5ceeca6f5,antifraud-spark-cluster-version2.3.0,Linux,r4.xlarge,EBS,10.28.100.120,52.80.116.255,,2018-12-28 02:19:45 UTC
43,cn-north-1,cn-north-1a,running,i-07a830421b4f7d5a9,xhqb-prod-hadoop-master,Linux,m4.2xlarge,EBS,10.28.100.218,52.80.152.161,,2017-12-20 03:37:10 UTC
44,cn-north-1,cn-north-1a,running,i-c6e0ccfe,prod-renhang-nginx,Linux,t2.medium,EBS,10.28.10.200,unassigned,,2016-08-06 03:02:46 UTC
45,cn-north-1,cn-north-1a,running,i-034d66d6e166732f6,node1.xh-prod.k8s.local,Linux,r4.2xlarge,EBS,10.28.30.34,unassigned,,2019-02-19 08:30:34 UTC
46,cn-north-1,cn-north-1a,running,i-f885dac0,prod-snowplow-collector-02,Linux,t2.small,EBS,10.28.6.224,54.222.205.12,,2016-05-17 09:03:56 UTC
47,cn-north-1,cn-north-1a,stopped,i-0042b8ffa724b23e5,elasticsearch-es-test-data-01,Linux,r4.xlarge,EBS,10.110.11.163,unassigned,,2018-12-20 06:05:47 UTC
48,cn-north-1,cn-north-1b,running,i-02d1e15da39731718,es-snow-restore-data-06,Linux,m4.4xlarge,EBS,10.28.19.212,unassigned,,2019-03-19 07:51:55 UTC
49,cn-north-1,cn-north-1a,running,i-07f40fb7fd56ad282,ldap-1,Linux,m3.medium,EBS,10.100.50.254,unassigned,,2016-12-13 02:16:14 UTC
50,cn-north-1,cn-north-1a,running,i-0e410836660d27623,ossec-server,Linux,t2.medium,EBS,10.100.50.187,unassigned,,2018-03-29 06:15:30 UTC
51,cn-north-1,cn-north-1b,running,i-05b87cc7496f59523,xh-svr14-nginx-02,Linux,t2.medium,EBS,10.28.80.244,unassigned,,2018-06-05 09:57:14 UTC
52,cn-north-1,cn-north-1b,running,i-09556d4efaade1510,nodes2.test100.k8s.local,Linux,r3.xlarge,EBS,10.110.201.216,unassigned,,2018-11-20 05:47:23 UTC
53,cn-north-1,cn-north-1a,running,i-f34b05cb,prod-cdn-1,Linux,m3.medium,EBS,10.8.12.16,54.222.164.112,ElasticIP,2016-11-09 18:34:34 UTC
54,cn-north-1,cn-north-1a,running,i-0d7af2f9b776e8795,nat-testxx,Linux,t2.micro,EBS,10.28.10.220,54.223.148.72,ElasticIP,2016-12-26 06:19:14 UTC
55,cn-north-1,cn-north-1a,running,i-07234ad1e8bd8ae32,gitlab-prod,Linux,m4.xlarge,EBS,10.100.50.188,unassigned,,2018-11-21 13:48:52 UTC
56,cn-north-1,cn-north-1b,running,i-074de2ddd794f16a8,windows-risk-2,Windows,c4.xlarge,EBS,10.28.202.203,unassigned,,2018-11-20 11:33:05 UTC
57,cn-north-1,cn-north-1b,running,i-09993dbb254a33250,rap-api,Linux,t2.small,EBS,10.100.51.254,unassigned,,2018-07-16 08:28:51 UTC
58,cn-north-1,cn-north-1a,stopped,i-d5201bed,manage/tower-a,Linux,m3.medium,EBS,10.100.50.38,unassigned,,2016-11-04 13:38:17 UTC
59,cn-north-1,cn-north-1b,running,i-063aa4b892e696d04,honeybot,Linux,t2.micro,EBS,10.28.80.94,unassigned,,2018-11-22 09:16:23 UTC
60,cn-north-1,cn-north-1a,running,i-0cab55c14e78c5804,elasticsearch-es-prod-data-09,Linux,r4.2xlarge,EBS,10.28.13.249,unassigned,,2017-06-14 10:59:29 UTC
61,cn-north-1,cn-north-1a,running,i-0188ce0229f67f36b,elasticsearch-es-prod-data-07,Linux,r4.2xlarge,EBS,10.28.13.191,unassigned,,2017-06-14 10:59:29 UTC
62,cn-north-1,cn-north-1a,running,i-0d60b71894a72e600,elasticsearch-es-prod-data-01,Linux,r4.2xlarge,EBS,10.28.13.23,unassigned,,2017-06-14 09:59:15 UTC
63,cn-north-1,cn-north-1a,running,i-0e7e52ce4b0ecdb9d,elasticsearch-es-prod-data-03,Linux,r4.2xlarge,EBS,10.28.13.124,unassigned,,2017-06-14 10:46:58 UTC
64,cn-north-1,cn-north-1a,running,i-0c27395788414c9cd,elasticsearch-es-prod-data-05,Linux,r4.2xlarge,EBS,10.28.13.156,unassigned,,2017-06-14 10:47:08 UTC
65,cn-north-1,cn-north-1a,running,i-0eadffd3e61141cf8,es-snow-restore-master-03,Linux,m4.2xlarge,EBS,10.28.18.201,unassigned,,2019-03-19 07:50:56 UTC
66,cn-north-1,cn-north-1a,stopped,i-bc90a184,dns-a,Linux,m3.medium,EBS,10.100.50.10,unassigned,,2016-09-23 05:04:02 UTC
67,cn-north-1,cn-north-1a,running,i-04a887c430ceb3615,prod-snowplow-enrich-03,Linux,m4.large,EBS,10.28.13.141,unassigned,,2018-07-26 11:44:23 UTC
68,cn-north-1,cn-north-1a,running,i-094429fd9734abcf0,prod-snowplow-enrich-04,Linux,m4.large,EBS,10.28.13.202,unassigned,,2017-06-16 11:49:35 UTC
69,cn-north-1,cn-north-1a,running,i-0c10d152ad7a6ee0f,xh-svr14-nginx-01,Linux,t2.medium,EBS,10.28.70.244,unassigned,,2018-06-05 09:54:23 UTC
70,cn-north-1,cn-north-1a,running,i-2429161c,xh-aws-vpn-manageVPC,Linux,m3.medium,EBS,10.100.1.5,52.81.87.4,,2018-11-01 14:50:31 UTC
71,cn-north-1,cn-north-1b,running,i-04c10bfb0552cc533,nodes3.manage.k8s.local,Linux,r4.xlarge,EBS,10.100.65.84,unassigned,,2019-02-21 02:39:02 UTC
